SN,Date ,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total-Afl,Source
776,29-Feb-12,,2012,Edo,Orhionmwon,,,6.1194,5.9833,Maize,ED1509M,,,3.86,2.78,0,0,6.64,NAFDAC Market Survey Sample 2012
777,29-Feb-12,,2012,Edo,Etsako Central,,,7.0057,6.4503,Maize,ED1510M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
778,01-Mar-12,,2012,Edo,Orhionmwon,,,6.1194,5.9833,Maize,ED1511M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
689,24-Feb-12,,2012,Enugu,Nkanu East,,,6.3089,7.6548,Maize,EN1377M,,,0.82,0.89,21.4,2.94,26.05,NAFDAC Market Survey Sample 2012
690,24-Feb-12,,2012,Enugu,Igbo Etiti,,,6.6722,7.4165,Maize,EN1378M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
691,24-Feb-12,,2012,Enugu,Udenu,,,6.8828,7.5464,Maize,EN1379M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
692,24-Feb-12,,2012,Enugu,Igboeze South,,,6.9386,7.3841,Maize,EN1380M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
693,24-Feb-12,,2012,Enugu,Enugu East,,,6.4483,7.5139,Maize,EN1381M,,,2.05,1.23,17.51,0.5,21.29,NAFDAC Market Survey Sample 2012
694,24-Feb-12,,2012,Enugu,Aninri,,,6.0362,7.5897,Maize,EN1382M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
695,24-Feb-12,,2012,Enugu,Udi,,,6.4818,7.3949,Maize,EN1383M,,,2.85,0.86,1.27,0,4.98,NAFDAC Market Survey Sample 2012
696,24-Feb-12,,2012,Enugu,Awgu,,,6.0779,7.4699,Maize,EN1384M,,,11.21,1.17,0,0,12.38,NAFDAC Market Survey Sample 2012
697,24-Feb-12,,2012,Enugu,Igbo Etiti,,,6.6722,7.4165,Maize,EN1385M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
698,24-Feb-12,,2012,Enugu,Igbo Eze North,,,6.9904,7.4814,Maize,EN1386M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
699,24-Feb-12,,2012,Enugu,Udenu,,,6.8828,7.5464,Maize,EN1387M,,,1.42,0.93,0,0,2.35,NAFDAC Market Survey Sample 2012
700,24-Feb-12,,2012,Enugu,Nsukka,,,6.3089,7.6548,Maize,EN1388M,,,1.02,0,0,0,1.02,NAFDAC Market Survey Sample 2012
701,24-Feb-12,,2012,Enugu,Nkanu East,,,6.4483,7.5139,Maize,EN1389M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
702,24-Feb-12,,2012,Enugu,Enugu East,,,6.4483,7.5139,Maize,EN1390M,,,6.83,1.64,15.29,1.71,25.47,NAFDAC Market Survey Sample 2012
703,24-Feb-12,,2012,Enugu,Udi,,,6.4818,7.3949,Maize,EN1391M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
704,24-Feb-12,,2012,Enugu,Igboeze South,,,6.9386,7.3841,Maize,EN1392M,,,15.43,9.92,0,0,25.35,NAFDAC Market Survey Sample 2012
705,24-Feb-12,,2012,Enugu,Igboeze North,,,6.9904,7.4814,Maize,EN1393M,,,9.99,1.54,0,0,11.53,NAFDAC Market Survey Sample 2012
706,24-Feb-12,,2012,Enugu,Enugu East,,,6.4483,7.5139,Maize,EN1394M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
707,24-Feb-12,,2012,Enugu,Igbo Etiti,,,6.6722,7.4165,Maize,EN1395M,,,10.99,1.61,7.32,8.94,28.86,NAFDAC Market Survey Sample 2012
708,24-Feb-12,,2012,Enugu,Igboeze South,,,6.9386,7.3841,Maize,EN1396M,,,2.8,0,0,0,2.8,NAFDAC Market Survey Sample 2012
709,24-Feb-12,,2012,Enugu,Aninri,,,6.0362,7.5897,Maize,EN1397M,,,2.48,1.78,0,0,4.26,NAFDAC Market Survey Sample 2012
710,24-Feb-12,,2012,Enugu,Oji River,,,6.2537,7.2734,Maize,EN1398M,,,17.27,2.37,5.82,0,25.46,NAFDAC Market Survey Sample 2012
711,24-Feb-12,,2012,Enugu,Oji River,,,6.2537,7.2734,Maize,EN1399M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
712,24-Feb-12,,2012,Enugu,Enugu South,,,6.3849,7.5139,Maize,EN1400M,,,16.82,5.12,11.67,0,33.61,NAFDAC Market Survey Sample 2012
